DrugName,ChemicalComposition,Description
Iodipamide, C20H14I6N2O6,A contrast agent used in cholangiography and cholecystography.
Iodixanol, C35H44I6N6O15,"A contrast agent used during coronary angiography, particularly in patients with renal dysfunction."
Iodoform, CHI3,No approved therapeutic indications.
Iodohippurate sodium I-123, C9H7INNaO3,
Iodohippurate sodium I-131, C9H7INNaO3,
Iofetamine I-123, C12H18IN,
Ioflupane I-123, C18H23FINO2,A radiopharmaceutical used in single photon emission computed tomography (SPECT) brain imaging to help diagnose patients with suspected Parkinsonian syndromes.
Iohexol, C19H26I3N3O9,A contrast agent for intrathecal administration used in myelography and contrast enhancement for computerized tomography.
Iomeprol, C17H22I3N3O8,An iodine-based X-ray contrast agent.
Iopamidol, C17H22I3N3O8,A diagnostic imaging agent used for angiography throughout the cardiovascular system.
Iopanoic acid, C11H12I3NO2,Iopanoic acid contains iodine and is useful as a contrast medium in cholecystography.
Iophendylate, C19H29IO2,Iophendylate is used as a contrast agent to locate spinal tumors.
Iopodic acid, C12H13I3N2O2,An iodine containing cholecystography agent.
Lithium hydroxide, HLiO,Used for tryptophan determinations in proteins &amp; foods.
Lodoxamide, C11H6ClN3O6,"An ophthalmic agent used for the treatment of the ocular disorders referred to by the terms vernal keratoconjunctivitis, vernal conjunctivitis, and vernal keratitis."
Lofexidine, C11H12Cl2N2O,A centrally acting alpha2-adrenergic agonist used for the symptomatic treatment of acute opioid withdrawal syndrome to facilitate abrupt opioid discontinuation in adults.
Lomefloxacin, C17H19F2N3O3,A fluoroquinolone used to prevent and treat a wide variety of infections in the body.
Lomifylline, C13H18N4O3,
Lomitapide, C39H37F6N3O2,"A microsomal triglyceride transfer protein inhibitor used to lower cholesterol associated with homozygous familial hypercholesterolemia (HoFH), reducing risk of cardiovascular events such as myocardial infarction and stroke."
Lomustine, C9H16ClN3O2,An alkylating agent used as a part of chemotherapeutic regimens for the treatment of primary and metastatic brain tumors as well as refractory or relapsed Hodgkin's disease in addition to surgical and/or radiotherapeutic treatments.
Lonafarnib, C27H31Br2ClN4O2,A potent farnesyl transferase inhibitor used to reduce mortality associated with Hutchinson-Gilford progeria syndrome (HGPS) and other progeroid laminopathies.
Loperamide, C29H33ClN2O2,"A long acting antidiarrheal used to control nonspecific diarrhea and chronic diarrhea caused by inflammatory bowel disease, or gastroenteritis."
Lopinavir, C37H48N4O5,An HIV-1 protease inhibitor used in combination with ritonavir to treat human immunodeficiency virus (HIV) infection.
Loracarbef, C16H16ClN3O4,"Used to treat upper respiratory tract bacterial infections, chronic bronchitis, pneumonia, sinusitis, pharyntitis and tonsillitis, skin absceses, urinary tract infections and pyelonephritis caused by E. coli, S. pyogenes, S. aureus,..."
Loratadine, C22H23ClN2O2,A second generation antihistamine used to manage the symptoms of allergic rhinitis.
Lorazepam, C15H10Cl2N2O2,"A short-acting benzodiazepine commonly used to treat panic disorders, severe anxiety, and seizures."
Lorcaserin, C11H14ClN,"A serotonin 2C receptor agonist used in conjunction with physical activity and calorie restriction for weight loss in obese patients with a body mass index (BMI) of 30 and above, and in overweight patients with weight-related comorbidities."
Lorlatinib, C21H19FN6O2,An anaplastic lymphoma kinase inhibitor used to treat anaplastic lymphoma kinase positive metastatic non small cell lung cancer.
Lormetazepam, C16H12Cl2N2O2,A benzodiazepine indicated in the treatment of anxiety and the induction of anesthesia.
Lornoxicam, C13H10ClN3O4S2,"An NSAID indicated in the treatment of mild to moderate pain, as well as rheumatoid arthritis and osteoarthritis."
Lorpiprazole, C21H26F3N5,"In 2016, lorpiprazole was classified in the ""Chemical structure-related drug-like criteria of global approved drugs"" as an antipsychotic and anxiolytic. An antipsychotic is a medication used to treat a state..."
Losartan, C22H23ClN6O,"An angiotensin receptor blocker used to treat hypertension and diabetic nephropathy, and is used to reduce the risk of stroke."
Loteprednol, C21H27ClO5,A corticosteroid indicated in the treatment of pain and inflammation after cataract surgery.
Loteprednol etabonate, C24H31ClO7,A corticosteroid used to treat allergic conjunctivitis as well as inflammation and pain after ocular surgery.
Lotilaner, C20H14Cl3F6N3O3S,An antiparasitic agent used to treat Demodex blepharitis.
Lovastatin, C24H36O5,"An HMG-CoA reductase inhibitor used to lower LDL cholesterol and reduce the risk of cardiovascular disease and associated conditions, including myocardial infarction and stroke."
Loxapine, C18H18ClN3O,A antipsychotic used for the treatment of schizophrenia.
Loxoprofen, C15H18O3,An NSAID used to treat pain and inflammation in musculoskeletal conditions.
Kaolin, Al2H4O9Si2,"A natural ingredient used for the short-term symptomatic treatment of various conditions including diarrhea, skin dryness, and minor skin bleeding."
Kappadione, C11H8Na4O8P2,"Anticoagulant-induced prothrombin deficiency caused by coumadin or indanedione derivatives,
prophylaxis and therapy of hemorrhagic disease of the newborn, hypoprothrombinemia due to antibacterial therapy,
hypoprothrombinemia secondary to factors limiting absorption or..."
Kava, C14H16O3,
Ketamine, C13H16ClNO,A rapid-acting general anesthetic and NMDA receptor antagonist used for induction of anesthesia diagnostic and surgical procedures typically in combination with a muscle relaxant.
Ketazolam, C20H17ClN2O3,A long-acting benzodiazepine used to manage anxiety and insomnia.
Ketoconazole, C26H28Cl2N4O4,A broad spectrum antifungal used to treat seborrheic dermatitis and fungal skin infections.
Ketoprofen, C16H14O3,"An NSAID used to treat rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, dysmenorrhea, mild to moderate muscle pain, postoperative pain, and postpartum pain."
Ketorolac, C15H13NO3,"An NSAID used to treat moderate to severe pain, rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, menstrual disorders, and headaches."
Ketotifen, C19H19NOS,A histamine H1 receptor blocker and mast cell stabilizer used to treat mild atopic asthma and allergic conjunctivitis.
Kinetin, C10H9N5O,Kinetin is a cytokinin which are plant hormones promotes cell division and plant growth. It was shown to naturally exist in DNA of organisms including humans and various plants. While...
Krypton Kr 81m, Kr,
L-arginine,,
L-Glutamine, C5H10N2O3,An amino acid commonly found as a component in total parenteral nutrition.
L-Lactic acid, C3H6O3,
Labetalol, C19H24N2O3,"An alpha and beta adrenergic antagonist used to treat hypertension, angina, and sympathetic overactivity syndrome."
Lacidipine, C26H33NO6,A lipophilic dihydropyridine calcium channel blocker with a slow onset of action used to treat hypertension.
Lacosamide, C13H18N2O3,An antiepileptic drug used to treat partial-onset seizures and primary generalized tonic-clonic seizures.
Lactic acid, C3H6O3,An emollient and keratolytic used agent in various cosmetic products and used as an additive in various pharmaceutical products for its antibacterial properties.
Lactitol, C12H24O11,An orally administered osmotic laxative used to treat chronic idiopathic constipation.
Lactobacillus delbrueckii bulgaricus,,
Lactose, C12H22O11,An additive and filler found in various products to maintain structure and consistency.
Lactulose, C12H22O11,A disaccharide derivative of lactose used to treat constipation and portal systemic encephalopathy.
Lamivudine, C8H11N3O3S,A reverse transcriptase inhibitor used to treat HIV and hepatitis B infections.
Lamotrigine, C9H7Cl2N5,A phenyltriazine antiepileptic used to treat some types of epilepsy and bipolar I disorder.
Lanolin,,An ingredient used in skin care products to relieve irritation.
Letermovir, C29H28F4N4O4,An antiviral medication used for prophylaxis in adult transplant recipients at risk of cytomegalovirus (CMV) infection and disease.
Letrozole, C17H11N5,An aromatase inhibitor used to treat breast cancer in postmenopausal women.
Leucovorin, C20H23N7O7,"A folate analog used to treat the toxic effects of methotrexate and other folate antagonists, to treat megaloblastic anemia, and to provide palliative treatment of colorectal cancer."
Idelalisib, C22H18FN7O,"An antineoplastic kinase inhibitor used to treat chronic lymphocytic leukemia (CLL), relapsed follicular B-cell non-Hodgkin lymphoma (FL), and relapsed small lymphocytic lymphoma (SLL)."
Idoxuridine, C9H11IN2O5,"A pyrimidine analog antiviral used for the treatment of viral eye infections, including herpes simplex keratitis."
Ifosfamide, C7H15Cl2N2O2P,"An alkylating and immunosuppressive agent used in chemotherapy for the treatment of cancers, including testicular cancer, ovarian cancer, cervical cancer, osteocarcinoma, bladder cancer, small cell lung cancer, and non-Hodgkin's lymphoma."
Leuprolide, C59H84N16O12,"A peptide-based GnRH receptor superagonist used for the palliative treatment of prostate cancer, uterine leiomyomata, endometriosis, and central precocious puberty."
Levacetylmethadol, C23H31NO2,For the treatment and management of opiate dependence. It is sometimes used to treat severe pain in terminal patients.
Levallorphan, C19H25NO,"For the complete or partial reversal of narcotic depression, including respiratory depression, induced by opioids."
Levamisole, C11H12N2S,Levamisole is a nicotinic receptor agonist used to treat helminth infections and some skin infections.
Levamlodipine, C20H25ClN2O5,A calcium channel blocker used to treat hypertension.
Levetiracetam, C8H14N2O2,"A novel anticonvulsant agent used as an adjunct medication to manage partial onset, myoclonic, and generalized tonic-clonic seizures in patients with epilepsy."
Levmetamfetamine, C10H15N,Used over-the-counter for nasal congestion.
Levobetaxolol, C18H29NO3,Used in the treatment of open-angle glaucoma and ocular hypertension [FDA Label].
Levobunolol, C17H25NO3,A beta-adrenergic antagonist used for the reduction of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.
Iloperidone, C24H27FN2O4,An atypical antipsychotic agent used to treat schizophrenia and manic or mixed episodes associated with bipolar I disorder in adults.
Iloprost, C22H32O4,A synthetic prostacyclin analog used to treat pulmonary arterial hypertension (PAH) and frostbites.
Imatinib, C29H31N7O,"A tyrosine kinase inhibitor used to treat a number of leukemias, myelodysplastic/myeloproliferative disease, systemic mastocytosis, hypereosinophilic syndrome, dermatofibrosarcoma protuberans, and gastrointestinal stromal tumors."
Imidurea, C11H16N8O8,Imidurea is an antimicrobial preservative used in cosmetics. It acts as a formaldehyde releaser.
Imipenem, C12H17N3O4S,A carbapenem antibiotic normally administered with cilastatin to treat a variety of infections.
Imipramine, C19H24N2,A tricyclic antidepressant indicated for the treatment of depression and to reduce childhood enuresis.
Imiquimod, C14H16N4,"A toll-like receptor 7 agonist used to treat non hyperkeratotic, non hypertrophic actinic keratosis, basal cell carcinoma, genital or perianal warts, and condyloma acuminata."
Indacaterol, C24H28N2O3,An inhaled long-acting beta-2 adrenergic agonist used to relax bronchial smooth muscle and improve symptoms and airflow obstruction caused by Chronic Obstructive Pulmonary Disease (COPD) and moderate to severe asthma.
Levobupivacaine, C18H28N2O,A drug used for nerve block and anesthesia.
Levocabastine, C26H29FN2O2,A selective histamine H1 receptor antagonist indicated for the management of seasonal allergic conjunctivitis symptoms.
Levocarnitine, C7H15NO3,A quaternary ammonium compound used to treat carnitine deficiency or to stimulate gastric and pancreatic secretions in hyperlipoproteinemia.
Levocetirizine, C21H25ClN2O3,An H1-receptor antagonist used to treat symptoms associated with chronic allergic rhinitis and uncomplicated cases of chronic idiopathic urticaria.
Levodopa, C9H11NO4,"A dopamine precursor used in the management of Parkinson's disease, often in combination with carbidopa, as well as other conditions associated with parkinsonism."
Levofloxacin, C18H20FN3O4,"A fluoroquinolone antibiotic used to treat infections caused by susceptible bacteria of the upper respiratory tract, skin and skin structures, urinary tract, and prostate, as well as for post-exposure treatment of inhaled anthrax and the plague."
Levoketoconazole, C26H28Cl2N4O4,One of two enantiomeric forms of racemic ketoconazole that strongly inhibits multiple steroidogenic enzymes and is used for the symptomatic treatment of endogenous Cushing's syndrome.
Levoleucovorin, C20H23N7O7,"A folate analog used after high dose methotrexate for osteosarcoma, to reduce the toxic effects of folate analogs, and with 5-fluorouracil in palliative treatment of advanced metastatic colorectal cancer."
Indapamide, C16H16ClN3O3S,A thiazide diuretic used to treat hypertension as well as edema due to congestive heart failure.
Indecainide, C20H24N2O,For the treatment of life-threatening dysrhythmias and sustained ventricular tachycardia.
Indigotindisulfonic acid, C16H10N2O8S2,A medication used to visualize ureteral orifices during cystoscopy and ureteral catheterization.
Indinavir, C36H47N5O4,A protease inhibitor used to treat HIV infection.
Indium In-111 chloride, Cl3In,A diagnostic radiopharmaceutical agent used for radiolabelling monoclonal antibodies in preparations used for in vivo diagnostic imaging procedures.
Indium In-111 oxyquinoline, C27H18InN3O3,A radiopharmaceutical diagnostic agent used for radiolabeling autologous leukocytes as an adjunct in the detection of inflammatory processes to which leukocytes migrate.
Indium In-111 pentetate, C14H20InN3O10,A radiopharmaceutical diagnostic agent used for radionuclide cisternography.
Levomefolic acid, C20H25N7O6,A folate supplement used to prevent neural tube defects in pregnancy or folate deficiency.
Levomenol, C15H26O,"Levomenol has been known to elicit a number of potentially beneficial pharmacological effects, including anti-irritant, anti-inflammatory, and anti-microbial actions. Bisabolol is also demonstrated to enhance the percutaneous absorption of certain..."
Levomenthol, C10H20O,An organic compound used to treat mild to moderate muscle and joint pain.
Levomilnacipran, C15H22N2O,A selective serotonin and norepinephrine reuptake inhibitor (SNRI) used to treat major depressive disorder (MDD) in adults.
Levonordefrin, C9H13NO3,A topical sympathomimetic amine found in local anesthetic products that is used for nasal decongestion or vasoconstriction during dental procedures.
Indium In-111 pentetreotide, C62H80InN12O19S2,"Indium In 111 pentetreotide (Octreoscan) has been used in trials studying the diagnostic of SARCOIDOSIS, Solid Tumors, and cushing syndrome."
Indocyanine green, C43H47N2NaO6S2,"A diagnostic agent for vascular imagine and radiography of the eye, as well as liver function tests."
Indocyanine green acid form, C43H48N2O6S2,"A diagnostic agent used for the determination of cardiac output, hepatic function and liver blood flow, and for ophthalmic angiography."
Indomethacin, C19H16ClNO4,A nonsteroidal anti-inflammatory (NSAID) used for symptomatic management of chronic musculoskeletal pain conditions and to induce closure of a hemodynamically significant patent ductus arteriosus in premature infants.
Indoramin, C22H25N3O,Indoramin is a discontinued piperidine antiadrenergic drug with the trade names Baratol and Doralese. It is a selective alpha-1 adrenergic antagonist with no reflex tachycardia and direct myocardial depression action.
Infigratinib, C26H31Cl2N7O3,An FGFR inhibitor used to treat locally advanced or metastatic cholangiocarcinoma in adults with a fibroblast growth factor receptor 2 (FGFR2) rearrangement.
Ingenol mebutate, C25H34O6,A topical agent used for the treatment of actinic keratosis.
Levonorgestrel, C21H28O2,A progestin found in oral and IUD contraceptives and at higher doses in emergency contraceptives.
Levorphanol, C17H23NO,An opioid analgesic used to treat moderate to severe pain.
Levosalbutamol, C13H21NO3,A beta-2 adrenergic receptor agonist used to treat COPD and asthma.
Levosimendan, C14H12N6O,A calcium sensitizer indicated to treat acutely decompensated severe chronic heart failure.
Levothyroxine, C15H11I4NO4,A synthetic T4 hormone used to treat hypothyroidism that can be used along with surgery and radioiodine therapy to manage thyrotropin-dependent well-differentiated thyroid cancer.
Lidocaine, C14H22N2O,A local anesthetic used in a wide variety of superficial and invasive procedures.
Lidoflazine, C30H35F2N3O,
Lifitegrast, C29H24Cl2N2O7S,A medication used to treat dry eye disease.
Light green SF yellowish, C37H34N2Na2O9S3,Light green SF yellowish is a green triarylmethane dye that is used in the preparation of the staining solution which is widely used as a counterstain. It is used in...
Light mineral oil,,"An oil used to hydrate dry, itchy skin, hemorrhoids, and dry eyes."
Linaclotide, C59H79N15O21S6,"A guanylate cyclase-C agonist used to treat different types of constipation, such as irritable bowel syndrome-related constipation, idiopathic constipation, and functional constipation."
Linagliptin, C25H28N8O2,A dipeptidyl peptidase-4 (DPP-4) inhibitor used to manage hyperglycemia in patients with type 2 diabetes mellitus.
Lincomycin, C18H34N2O6S,An antibiotic indicated only for the treatment of serious infections and is typically reserved for use in cases of penicillin allergy or where penicillin is inappropriate.
Lindane, C6H6Cl6,An ectoparasiticide and ovicide used in the treatment of Pediculosis humanis capitis (head lice) and Phthirus pubis (crab lice).
Linezolid, C16H20FN3O4,An oxazolidinone antibiotic used to treat infections by susceptible strains of aerobic Gram-positive bacteria.
Linoleic acid, C18H32O2,
Linzagolix, C22H15F3N2O7S,A selective gonadotropin-releasing hormone (GnRH) receptor antagonist used for the symptomatic treatment of uterine fibroids.
Liothyronine, C15H12I3NO4,"A thyroid hormone replacement therapy used to treat hypothyroidism, to suppress TSH, and to help in the diagnosis of hyperthyroidism."
Liotrix, C30H21I7N2Na2O8,"May be used to treat primary, secondary or tertiary hypothyroidism. May also be used to suppress thyroid stimulating hormone (TSH) secretion in patients with simple (nontoxic) goiter, subacute or chronic..."
Lipoic acid, C8H14O2S2,"For nutritional supplementation, also for treating dietary shortage or imbalance."
Lisdexamfetamine, C15H25N3O,A central nervous system (CNS) stimulant used to treat attention deficit hyperactivity disorder (ADHD) and moderate to severe eating disorders.
Lisinopril, C21H31N3O5,"An ACE inhibitor used to treat hypertension, heart failure, and acute myocardial infarction."
Lisuride, C20H26N4O,For the management of Parkinson's Disease
Lithium carbonate, CLi2O3,A medication used to treat manic episodes of bipolar disorder.
Lithium citrate, C6H5Li3O7,"Lithium is used as a mood stabilizer, and is used for treatment of depression and mania. It is often used in bipolar disorder treatment."
Maralixibat, C40H56N3O4S,An ileal bile acid transporter inhibitor indicated to treat cholestatic pruritus in patients with Alagille syndrome.
Maraviroc, C29H41F2N5O,A CCR5 co-receptor antagonist used with other antiretroviral medications to treat CCR5-tropic HIV-1 infection.
Maribavir, C15H19Cl2N3O4,A cytomegalovirus (CMV) pUL97 kinase inhibitor used for the treatment of refractory post-transplant CMV infection.
Masoprocol, C18H22O4,Used for the treatment of actinic keratoses (precancerous skin growths that can become malignant if left untreated).
Mavacamten, C15H19N3O2,A myosin inhibitor used to treat obstructive hypertrophic cardiomyopathy.
Mazindol, C16H13ClN2O,A sympathomimetic used to treat obesity in combination with lifestyle modifications.
Mebendazole, C16H13N3O3,A benzimidazole anthelmintic used to treat helminth infections.
Mebeverine, C25H35NO5,An antispasmodic used for the symptomatic treatment of stomach pain and spasms associated with irritable bowel syndrome and other gastrointestinal illnesses.
Mebrofenin, C15H19BrN2O5,
Mebutamate, C10H20N2O4,Mebutamate is a sedative and anxiolytic drug with anti-hypertensive (blood pressure lowering) effects comparable to those of other barbiturates but is only around 1/3rd the potency of secobarbital as a...
Mecamylamine, C11H21N,A nicotine antagonist used to treat moderate to severe essential hypertension and uncomplicated malignant hypertension.
Mechlorethamine, C5H11Cl2N,"An antineoplastic agent used to treat Hodgkin's disease, lymphosarcoma, and chronic myelocytic or lymphocytic leukemia."
Meclizine, C25H27ClN2,"A histamine H1 antagonist used to treat nausea, vomiting, and dizziness associated with motion sickness."
Meclofenamic acid, C14H11Cl2NO2,"An NSAID used to treat mild to moderate pain, primary dysmenorrhea, heavy menstrual blood loss, rheumatoid arthritis, and osteoarthritis."
Mecobalamin, C63H91CoN13O14P,
Medical air,,A mixture of gases that is primarily composed of nitrogen and oxygen used for respiratory support in a variety of conditions.
Medifoxamine, C16H19NO2,"Medifoxamine was marketed as an atypical antidepressant, with anxiolyitc properties in France, Spain, and Morrocco in the 1990s but was later withdrawn from the market due to it causing cases..."
Medium-chain triglycerides,,A source of essential fatty acids used as a source of calories in parenteral nutrition.
Medrogestone, C23H32O2,"A progestin used as an adjunct to control secondary amenorrhea and dysfunctional bleeding in adolescent and adult females, and treat endometrial shedding in menopausal women."
Medronic acid, CH6O6P2,
Medroxyprogesterone acetate, C24H34O4,"A progestin used as a contraceptive and in the treatment of secondary amenorrhea, abnormal uterine bleeding, pain from endometriosis, endometrial and renal carcinomas, paraphilia in males, and GnRH-dependent precocious puberty."
Medrysone, C22H32O3,A topical glucocorticoid applied ophthalmically for the treatment of various ocular inflammatory or allergic conditions.
Mefenamic acid, C15H15NO2,"An NSAID used to treat mild to moderate pain for no more than a week, and primary dysmenorrhea."
Mefloquine, C17H16F6N2O,An antimalarial agent used in the prophylaxis and treatment of malaria caused by Plasmodium falciparum and Plasmodium vivax.
Megestrol acetate, C24H32O4,A progestin that is administered orally to treat anorexia and cachexia or serious unexplained weight loss and is also used as an antineoplastic agent to treat certain types of malignancy.
Iopromide, C18H24I3N3O8,An X-ray contrast agent used during various types of imaging tests such as angiography and contrast computed tomography (CT) imaging tests.
Iothalamic acid, C11H9I3N2O4,"A diagnostic contrast agent used in various medical imaging procedures, such as angiography, arthrography, and computed tomographic scans."
Iotrolan, C37H48I6N6O18,"Nonionic, isotonic contrast medium designed for intrathecal use."
Ioversol, C18H24I3N3O9,"A diagnostic contrast agent used in various medical imaging procedures, such as angiography, urography, and computed tomographic scans."
Ioxaglic acid, C24H21I6N5O8,"A tri-iodinated benzoate contrast agent used in various radiological procedures including angiography, phlebography, urography, computed tomography (CT), and hysterosalpingography."
Ioxilan, C18H24I3N3O8,"A diagnostic contrast agent used in various medical imaging procedures, such as angiography, urography, and computed tomographic scans."
Ioxitalamic acid, C12H11I3N2O5,A contrast agent used for CT scans of the abdomen and pelvis.
Ipecac,,An emetic agent used to induce vomiting in poisoning.
Ipratropium, C20H30NO3,An anticholinergic drug used in the control of symptoms related to bronchospasm in chronic obstructive pulmonary disease (COPD).
Iptacopan, C25H30N2O4,A factor B inhibitor used to treat paroxysmal nocturnal hemoglobinuria.
Irbesartan, C25H28N6O,"An angiotensin receptor blocker used to treat hypertension, delay progression of diabetic nephropathy, and treat congestive heart failure."
Irinotecan, C33H38N4O6,A topoisomerase inhibitor used to treat metastatic carcinoma of the colon or rectum and pancreatic adenocarcinoma.
Iron, Fe,An essential element commonly used for the treatment of patients with documented iron deficiency.
Iron Dextran,,An iron supplement used to treat iron deficiency in patients who cannot take oral iron.
Iron isomaltoside 1000,,"Iron isomaltoside 1000 is under investigation in Iron Deficiency Anaemia. Iron isomaltoside 1000 has been investigated for the treatment and basic science of Anemia, Gastric Cancer, Esophageal Cancer, Chronic Kidney..."
Iron protein succinylate,,
Iron sucrose, C12H29Fe5Na2O23,An compound used as a source of iron in patients with iron deficiency anemia associated with chronic kidney disease (CKD).
Isavuconazole, C22H17F2N5OS,"Indicated for patients 18 years of age and older for the treatment of invasive aspergillosis [FDA Label].
Indicated for patients 18 years of age and older for the treatment of..."
Isavuconazonium, C35H35F2N8O5S,A triazole antifungal used for the treatment of invasive aspergillosis and mucormycosis.
Isoaminile, C16H24N2,"Isoaminile, an antitussive drug with a structure similar to methadone, is also an anticholinergic with both antimuscarinic and antinicotinic properties."
Isocarboxazid, C12H13N3O2,A monoamine oxidase inhibitor used to treat enduring and debilitating symptoms of depression following inadequate clinical response to other antidepressant drugs.
Isoconazole, C18H14Cl4N2O,An imidazole antifungal used for superficial skin and vaginal infections.
Isoetharine, C13H21NO3,"For the treatment of asthma, wheezing, and chronic asthmatic bronchitis."
Isoeugenol, C10H12O2,Isoeugenol is approved by the FDA for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in...
Isoflurane, C3H2ClF5O,An inhaled general anesthetic used in surgery.
Milrinone, C12H9N3O,"A PDE-III inhibitor with inotropic, lusitropic, and vasodilatory properties used for the short-term treatment of acute decompensated heart failure."
Miltefosine, C21H46NO4P,"An antileishmanial agent used to treat leishmaniasis, a group of disease caused by parasites of the Leishmania type."
Minaprine, C17H22N4O,For the treatment of depression
Mineral oil,,Mineral oil is not considered an active pharmacological ingredient in pharmaceutical preparations and so has no official indication. It is typically present in topical formulations as an emollient and occlusive...
Minocycline, C23H27N3O7,A tetracycline analog used to treat a wide variety of infections in the body.
Minoxidil, C9H15N5O,An antihypertensive vasodilating agent used for resistant hypertension that is symptomatic or has caused end organ damage.
Mirabegron, C21H24N4O2S,A beta-3 adrenergic agonist used to treat overactive bladder and neurogenic detrusor overactivity.
Mirtazapine, C17H19N3,A tetracyclic antidepressant used in the treatment of major depression and is used off-label as a drug for insomnia and to increase appetite.
Misoprostol, C22H38O5,A prostaglandin E1 analogue used to reduce the risk of NSAID-induced gastric ulcers and to terminate pregnancies.
Mitapivat, C24H26N4O3S,A pyruvate kinase activator used to treat hemolytic anemia in adults with pyruvate kinase (PK) deficiency.
Mitomycin, C15H18N4O5,An antimetabolite used as an adjunct to ab externo (outside approach) eye surgeries for the treatment of glaucoma and used as a chemotherapeutic agent for various malignancies.
Mitotane, C14H10Cl4,An adrenal cortex inhibitor used to treat adrenocortical tumors and Cushing's syndrome.
Mitoxantrone, C22H28N4O6,"A chemotherapeutic agent used for the treatment of secondary progressive, progressive relapsing, or worsening relapsing-remitting multiple sclerosis."
Mivacurium, C58H80N2O14,A short-acting non-depolarizing neuromuscular blocking agent used to induce anesthesia during intubation and promote skeletal muscle relaxation during surgery or mechanical ventilation.
Mizolastine, C24H25FN6O,A second-generation non-sedating antihistamine used to treat symptoms of allergic rhinoconjunctivitis and urticaria.
Mobocertinib, C32H39N7O4,An oral kinase inhibitor targeted against EGFR and used in the treatment of NSCLC with EGFR exon 20 insertion mutations.
Moclobemide, C13H17ClN2O2,A monoamine oxidase inhibitor used in the treatment of major depressive disorder and bipolar disorder.
Modafinil, C15H15NO2S,"A stimulant used to improve wakefulness in patients with sleep apnea, narcolepsy, or shift work disorder."
Moexipril, C27H34N2O7,An angiotensin converting enzyme inhibitor prodrug used to treat hypertension.
Molindone, C16H24N2O2,An antipsychotic used to treat schizophrenia.
Molsidomine, C9H14N4O4,"A long-acting vasodilator used to treat angina pectoris, including in association with left heart failure and acute myocardial infarction."
Molybdenum, Mo,An ingredient found in a variety of supplements and vitamins.
Momelotinib, C23H22N6O2,A Janus Kinase inhibitor used to treat intermediate or high-risk myelofibrosis.
Mometasone furoate, C27H30Cl2O6,"A corticosteroid used to treat asthma, allergic rhinitis, nasal congestion, nasal polyps, dermatitis, and pruritus."
Monobenzone, C13H12O2,A hydroquinone derivative used to treat vitiligo.
Mestranol, C21H26O2,"A synthetic estradiol found in oral contraceptive pills for contraception and the treatment of other conditions in the female reproductive system, such as dysmenorrhea and dysfunctional uterine bleeding."
Metacycline, C22H22N2O8,For the treatment of acute bacterial exacerbations of chronic bronchitis
Metamfetamine, C10H15N,A sympathomimetic agent used in the treatment of attention deficit hyperactivity disorder (ADHD) and exogenous obesity.
Metamizole, C13H17N3O4S,An antipyretic and analgesic drug used to relieve severe and persistent fever and pain.
Metaraminol, C9H13NO2,"For the treatment and prevention of hypotension due to hemorrhage, spinal anesthesia, and shock associated with brain damage"
Metaxalone, C12H15NO3,A muscle relaxant used to treat muscle pain or spasm.
Metergoline, C25H29N3O2,An ergot-derivative that acts as an antagonist at certain 5-HT receptor subtypes and as an agonist at dopamine receptors. It is often used in situations where inhibition of prolactin is desirable.
Metformin, C4H11N5,A biguanide antihyperglycemic used in conjunction with diet and exercise for glycemic control in type 2 diabetes mellitus. It is also used off-label for insulin resistance in polycystic ovary syndrome (PCOS).
Methacholine, C8H18NO2,A parasympathomimetic bronchoconstrictor used to diagnose bronchial hyperreactivity in subjects who do not have clinically apparent asthma.
Methadone, C21H27NO,An opioid analgesic indicated for management of severe pain that is not responsive to alternative treatments. Also used to aid in detoxification and maintenance treatment of opioid addiction.
Methantheline, C21H26NO3,"For the treatment of peptic ulcer disease, irritable bowel syndrome, pancreatitis, gastritis, biliary dyskinesia, pylorosplasm, and reflex neurogenic bladder in children."
Methazolamide, C5H8N4O3S2,A carbonic anhydrase inhibitor used to treat open angle glaucoma and acute angle closure glaucoma.
Methdilazine, C18H20N2S,Used for the symptomatic relief of hypersensitivity reactions and particularly for the control of pruritic skin disorders
Methenamine, C6H12N4,A urinary tract antiseptic and antibacterial drug used for the prophylaxis and treatment of frequently recurring urinary tract infections requiring a long-term therapy.
Methimazole, C4H6N2S,"A thionamide antithyroid agent that inhibits the actions of thyroid peroxidase, leading to a reduction in thyroid hormone synthesis and amelioration of hyperthyroidism."
Methionine, C5H11NO2S,An amino acid commonly found as a component in total parenteral nutrition.
Methocarbamol, C11H15NO5,"A CNS depressant indicated with rest, physical therapy and other treatments to control the discomfort associated with various acute musculoskeletal conditions."
Methohexital, C14H18N2O3,An anesthetic used to induce deep sedation.
Methotrexate, C20H22N8O5,"An antineoplastic agent used the treatment of a wide variety of cancers as well as severe psoriasis, severe rheumatoid arthritis, and juvenile rheumatoid arthritis."
Methotrimeprazine, C19H24N2OS,"A phenothiazine used in the management of psychosis, particular those of schizophrenia, and manic phases of bipolar disorder."
Methoxamine, C11H17NO3,An alpha adrenergic agonist used to treat hypotension.
